type,team,year,norm_epa,blue_banners,event_wins,event_finalists,total_awards,rank,elim_progression,state,worlds_winrate,worlds_qual_winrate,state_epa_rank,state_epa_percentile,total_epa_rank,total_epa_percentile,elim_alliance,elim_pick,count
regular,573,2023,1654,1,0,0,5,6.0,3,TX,0.6923,0.8,40.0,0.9161,241.0,0.9266,Alliance 6,0,
regular,5730,2015,1532,0,0,0,1,39.0,0,MO,0.0,0.0,26.0,0.6232,884.0,0.6923,,-1,
regular,5735,2015,1584,0,0,0,5,47.0,0,MO,0.0,0.0,13.0,0.7969,458.0,0.8406,,-1,
regular,5735,2022,1580,0,0,1,1,67.0,0,TX,0.2,0.2,14.0,0.7971,563.0,0.8156,,-1,
regular,5736,2017,1625,0,0,1,2,38.0,0,MO,0.6,0.6,19.0,0.8797,350.0,0.8949,,-1,
regular,5737,2015,1514,0,0,0,3,64.0,0,MO,0.0,0.0,36.0,0.7831,1077.0,0.6251,,-1,
regular,5737,2017,1435,0,0,0,0,60.0,0,TX,0.4,0.4,164.0,0.4306,2490.0,0.2525,,-1,
regular,5740,2018,1541,0,0,0,1,45.0,0,MI,0.5,0.5,29.0,0.5672,1118.0,0.6909,,-1,
regular,5740,2019,1521,0,0,0,3,33.0,2,MI,0.5,0.5,39.0,0.4179,1394.0,0.6293,Alliance 2,3,
regular,5754,2019,1458,0,0,1,1,51.0,0,TX,0.5,0.5,98.0,0.4235,2468.0,0.3436,,-1,
regular,5771,2015,1529,0,0,1,1,60.0,0,MO,0.0,0.0,34.0,0.7444,904.0,0.6853,,-1,
regular,578,2009,1512,0,0,0,1,58.0,0,GA,0.4286,0.4286,49.0,0.595,664.0,0.6036,,-1,
regular,578,2013,1501,0,0,0,0,83.0,0,MO,0.25,0.25,69.0,0.5141,1133.0,0.5484,,-1,
regular,578,2018,1635,0,0,2,4,26.0,0,MI,0.6,0.6,10.0,0.9419,320.0,0.9115,Alliance 5,3,
regular,58,2007,1633,0,0,0,1,61.0,0,GA,0.4286,0.4286,1.0,0.8,113.0,0.911,,-1,
regular,58,2012,1631,2,1,0,3,8.0,2,MO,0.5455,0.6667,1.0,0.9,215.0,0.9078,,0,
regular,58,2014,1710,1,1,0,4,29.0,0,MO,0.6,0.6,1.0,0.9444,97.0,0.964,,-1,
regular,58,2015,1692,0,0,2,4,19.0,0,MO,0.0,0.0,2.0,0.9048,135.0,0.953,,-1,
regular,58,2018,1599,0,0,1,3,59.0,0,MI,0.3,0.3,5.0,0.8077,526.0,0.8546,Alliance 8,3,
regular,580,2018,1568,0,0,1,2,17.0,0,TX,0.5,0.5,65.0,0.7917,802.0,0.7783,,-1,
regular,5801,2016,1536,0,0,0,2,57.0,0,MO,0.4,0.4,26.0,0.6438,949.0,0.6952,,-1,
regular,5801,2017,1701,1,1,0,1,13.0,0,MO,0.6,0.6,6.0,0.9167,137.0,0.9589,,-1,
regular,5801,2018,1594,0,0,1,2,46.0,0,TX,0.4,0.4,12.0,0.8356,566.0,0.8435,,-1,
regular,5801,2019,1651,1,1,0,3,19.0,4,TX,0.6429,0.7,5.0,0.9324,288.0,0.9234,Alliance 5,2,
regular,5801,2023,1616,0,0,1,3,27.0,0,TX,0.5,0.5,10.0,0.8387,414.0,0.8739,,-1,
regular,5802,2017,1703,0,0,0,2,29.0,1,TX,0.4545,0.5,13.0,0.9534,135.0,0.9595,Alliance 6,2,
regular,5802,2018,1754,1,1,0,2,50.0,0,TX,0.4,0.4,9.0,0.9712,78.0,0.9784,,-1,
regular,5803,2016,1635,1,1,0,9,4.0,2,MO,0.75,0.9,13.0,0.8839,273.0,0.9123,Alliance 4,0,
regular,5803,2017,1594,2,2,0,4,57.0,2,TX,0.1667,0.2,26.0,0.75,544.0,0.8367,Alliance 8,2,
regular,5803,2018,1702,2,2,1,6,27.0,5,TX,0.6,0.6,7.0,0.9307,150.0,0.9585,Alliance 2,2,
regular,5803,2019,1724,1,1,1,5,7.0,5,TX,0.6333,0.75,4.0,0.9592,110.0,0.9707,Alliance 7,0,
regular,5804,2016,1578,2,2,0,4,42.0,0,MO,0.5,0.5,17.0,0.7821,559.0,0.8205,,-1,
regular,5804,2018,1582,0,0,1,1,46.0,0,MI,0.4,0.4,20.0,0.7333,658.0,0.8181,,-1,
regular,5804,2022,1647,1,1,2,6,50.0,1,TX,0.5,0.4444,3.0,0.9524,251.0,0.9178,Alliance 3,3,
regular,5804,2023,1710,1,1,0,5,26.0,3,TX,0.6923,0.7,4.0,0.9394,123.0,0.9625,Alliance 3,3,
regular,5805,2016,1528,0,0,1,3,54.0,0,MO,0.4,0.4,72.0,0.7198,1036.0,0.6673,,-1,
regular,5805,2018,1605,1,1,0,1,33.0,2,TX,0.3333,0.4,38.0,0.8782,493.0,0.8637,Alliance 5,2,
regular,5805,2019,1532,0,0,1,2,53.0,0,TX,0.4,0.4,99.0,0.6806,1244.0,0.6691,,-1,
regular,5806,2022,1472,1,1,0,2,73.0,0,TX,0.1,0.1,74.0,0.4519,1844.0,0.396,,-1,
regular,5809,2016,1470,0,0,0,1,71.0,0,MO,0.1,0.1,47.0,0.3562,1888.0,0.3937,,-1,
regular,5809,2018,1500,0,0,0,1,54.0,0,TX,0.3,0.3,38.0,0.4795,1686.0,0.5339,,-1,
regular,5809,2022,1555,1,1,0,2,63.0,0,TX,0.3,0.3,19.0,0.7031,751.0,0.754,,-1,
regular,5809,2023,1521,1,1,0,2,68.0,0,TX,0.2,0.2,26.0,0.5806,1255.0,0.6178,,-1,
regular,5811,2016,1599,0,0,0,5,48.0,0,MO,0.4,0.4,8.0,0.8621,429.0,0.8622,,-1,
regular,5811,2019,1611,1,0,0,3,49.0,0,MI,0.5,0.5,10.0,0.8485,505.0,0.8657,,-1,
regular,5813,2016,1733,0,0,0,3,7.0,2,MO,0.5833,0.7,3.0,0.9032,81.0,0.974,Alliance 5,0,
regular,5813,2017,1638,0,0,1,2,12.0,0,MO,0.7,0.7,7.0,0.8056,292.0,0.9123,,-1,
regular,5813,2018,1637,0,0,1,2,7.0,2,MI,0.75,0.9,6.0,0.8571,310.0,0.9143,Alliance 5,0,
regular,5813,2022,1693,2,2,0,4,13.0,0,TX,0.7,0.7,3.0,0.9231,149.0,0.9512,,-1,
regular,5816,2016,1509,0,0,1,2,66.0,0,MO,0.3333,0.3333,24.0,0.6571,1280.0,0.589,,-1,
regular,5816,2017,1487,0,0,0,1,35.0,0,TX,0.55,0.55,36.0,0.5263,1702.0,0.489,,-1,
regular,5816,2023,1384,2,0,0,2,75.0,0,TX,0.1,0.1,62.0,0.1143,3104.0,0.0548,,-1,
regular,5817,2016,1514,0,0,1,3,64.0,0,MO,0.2,0.2,90.0,0.6498,1225.0,0.6066,,-1,
regular,5817,2018,1603,0,0,0,1,6.0,2,TX,0.6364,0.7778,39.0,0.875,500.0,0.8618,Alliance 5,0,
regular,5817,2022,1579,2,1,0,6,32.0,0,TX,0.5,0.5,53.0,0.7962,573.0,0.8123,,-1,
regular,5818,2016,1605,0,0,1,3,41.0,0,MO,0.6,0.6,26.0,0.8988,407.0,0.8693,,-1,
regular,5818,2017,1575,0,0,1,4,13.0,4,TX,0.6071,0.65,51.0,0.8172,687.0,0.7938,Alliance 8,1,
regular,5818,2018,1715,1,1,1,4,9.0,2,TX,0.5833,0.7,14.0,0.9551,128.0,0.9646,Alliance 7,0,
regular,5822,2016,1536,0,0,0,3,33.0,0,MO,0.5,0.5,20.0,0.661,950.0,0.6949,,-1,
regular,5822,2018,1548,0,0,1,3,37.0,0,MI,0.45,0.45,18.0,0.6897,1034.0,0.7141,,-1,
regular,5827,2016,1458,0,0,0,4,54.0,0,MO,0.4,0.4,84.0,0.25,2071.0,0.3349,,-1,
regular,5827,2022,1703,1,1,0,2,50.0,0,TX,0.4,0.4,4.0,0.9529,137.0,0.9551,,-1,
regular,5829,2017,1577,0,0,1,2,47.0,0,TX,0.4,0.4,28.0,0.8182,668.0,0.7995,,-1,
regular,5829,2018,1471,0,0,1,2,59.0,0,TX,0.3,0.3,74.0,0.5404,2179.0,0.3976,,-1,
regular,5830,2016,1474,0,0,0,5,68.0,0,MO,0.3,0.3,28.0,0.3171,1814.0,0.4175,,-1,
regular,5832,2016,1420,0,0,0,1,49.0,0,MO,0.4,0.4,160.0,0.3013,2601.0,0.1647,,-1,
regular,5834,2016,1466,0,0,0,2,52.0,0,MO,0.35,0.35,84.0,0.3824,1949.0,0.3741,,-1,
regular,5837,2016,1514,1,0,0,3,46.0,0,MO,0.4,0.4,7.0,0.3,1223.0,0.6073,,-1,
regular,5839,2016,1541,0,0,0,1,58.0,0,MO,0.5,0.5,20.0,0.9127,888.0,0.7148,,-1,
regular,5839,2017,1564,0,0,1,3,30.0,0,TX,0.6,0.6,39.0,0.8646,797.0,0.7607,,-1,
regular,5839,2018,1544,0,0,1,4,56.0,0,TX,0.4,0.4,69.0,0.8115,1079.0,0.7017,,-1,
regular,5842,2016,1501,0,0,0,3,34.0,0,MO,0.5,0.5,27.0,0.6143,1410.0,0.5472,Alliance 2,2,
